Radius,Metric Tree,FassT,FassT w/ Gating,
5,2365,5,15,
10,26067,15,15,
15,80371,30,15,
20,173035,30,15,
25,230461,30,15,
30,266916,30,15,
35,287016,30,15,
40,344971,30,15,
45,352492,30,15,
50,357373,30,15,
55,360740,30,15,
60,363886,30,15,
65,366736,30,15,
70,370649,30,15,
75,374739,30,15,
80,379061,30,15,
85,382876,30,15,
90,386120,30,15,
95,388442,30,15,
100,390202,30,15,
105,391236,30,15,
110,391910,30,15,
115,392334,30,15,
120,392520,30,15,
125,392666,30,15,
130,392714,30,15,
135,392757,30,15,
140,392775,30,15,
145,392790,30,15,
150,392799,30,15,
155,392814,30,15,
160,392821,30,15,
165,392858,68,34,
170,392957,144,71,
175,393266,499,202,
180,393911,1242,550,
185,395406,2672,1638,
190,398472,5461,3612,
195,403804,11668,9420,
200,412977,12900,18277,
205,409492,20393,57001,
210,203843,22573,95060,
215,176064,14154,216154,
220,108677,5341,261138,
225,56247,1964,494794,
230,31062,25,221159,
235,22973,19,78653,
240,10556,19,1620,
245,2683,13,812,
250,947,9,349,
255,351,7,113,
260,126,7,39,
265,61,7,20,
270,48,6,17,
275,48,6,12,
280,48,6,12,
285,48,6,12,
290,48,6,12,
295,48,6,12,
300,48,6,12,
305,25,6,12,
310,25,6,12,
315,25,6,12,
320,25,6,12,
325,25,6,12,
330,25,6,12,
335,25,6,12,
340,25,6,12,
345,25,6,12,
350,25,6,12,
355,25,6,12,
