Radius,Metric Tree,FassT,FassT w/ Gating,
5,1044,15,23,
10,19575,23,46,
15,89875,23,69,
20,183667,23,92,
25,246111,23,115,
30,284091,23,138,
35,303811,23,161,
40,316540,23,184,
45,325051,23,207,
50,329712,23,230,
55,333353,23,253,
60,336415,23,276,
65,339913,23,299,
70,344295,23,322,
75,348877,23,345,
80,354062,23,368,
85,358510,23,391,
90,361750,23,414,
95,364469,23,437,
100,366255,23,460,
105,367386,23,483,
110,368160,23,506,
115,368543,23,529,
120,368845,23,552,
125,368923,23,575,
130,368949,23,598,
135,368985,23,621,
140,369002,23,644,
145,369012,23,667,
150,369019,23,690,
155,369027,23,713,
160,369027,23,736,
165,369077,68,831,
170,369196,134,1013,
175,369499,476,1691,
180,370213,1179,3316,
185,371771,3138,7283,
190,375083,8795,14603,
195,381431,40028,32925,
200,393537,422041,73297,
205,415273,466944,152044,
210,632554,990802,297437,
215,670049,1146303,597532,
220,730298,1205501,1039256,
225,776966,1210765,1666760,
230,1596704,1614950,2587245,
235,1605730,1614950,4135537,
240,1609410,1614950,5748118,
245,1613033,1614950,7362678,
250,1613674,1614950,8977545,
255,1614105,1614950,10592493,
260,1614803,1614950,12207443,
265,1614910,1614950,13822393,
270,1614921,1614950,15437343,
275,1614933,1614950,17052293,
280,1614950,1614950,18667243,
285,1614950,1614950,20282193,
290,1614950,1614950,21897143,
295,1614950,1614950,23512093,
300,1614950,1614950,25127043,
305,1614950,1614950,26741993,
310,1614950,1614950,28356943,
315,1614950,1614950,29971893,
320,1614950,1614950,31586843,
325,1614950,1614950,33201793,
330,1614950,1614950,34816743,
335,1614950,1614950,36431693,
340,1614950,1614950,38046643,
345,1614950,1614950,39661593,
350,1614950,1614950,41276543,
355,1614950,1614950,42891493,
