Radius,Metric Tree,FassT,FassT w/ Gating,
5,40.507,1.477,0.491,
10,740.725,1.762,0.237,
15,3401.31,1.799,0.246,
20,6936.62,1.799,0.247,
25,9307.89,1.972,0.438,
30,10725.9,1.973,0.433,
35,11488.4,1.808,0.249,
40,11950.5,1.981,0.436,
45,12291.1,1.98,0.436,
50,12447.3,1.977,0.435,
55,12605.7,1.981,0.438,
60,12700.3,2.171,0.595,
65,12852.9,2.019,0.438,
70,12998.4,2.153,0.287,
75,13192.2,1.808,0.25,
80,13369.2,1.985,0.439,
85,13556.9,1.811,0.249,
90,13657.4,2.163,0.289,
95,13782.5,1.988,0.449,
100,13827.7,1.983,0.438,
105,13892.8,1.802,0.248,
110,13862.1,1.969,0.44,
115,13900,1.981,0.441,
120,13889.2,1.827,0.251,
125,13917.7,2.149,0.288,
130,13888.3,2.009,0.602,
135,13913.5,1.756,0.293,
140,13892.5,1.814,0.243,
145,13915.8,2.169,0.29,
150,13892.5,2.167,0.29,
155,13915.3,2.014,0.444,
160,13892.5,1.802,0.241,
165,13919.5,6.144,3.743,
170,13903.9,12.966,7.958,
175,13962.1,46.995,31.846,
180,14008.3,114.676,79.925,
185,14189,270.464,214.443,
190,14427.7,525.949,316.278,
195,15239.8,1207.71,1092.93,
200,15973.6,1531.45,1982.17,
205,17525.5,2414.91,3655.88,
210,11962.4,3048.92,6962.29,
215,14513.1,2344.11,14154.5,
220,8525.38,923.266,11465.4,
225,3523.33,485.252,10177.7,
230,2738.3,431.412,17342.5,
235,1944.72,430.844,2419.7,
240,1350.13,419.887,900.67,
245,862.57,415.045,644.76,
250,743.576,426.915,509.355,
255,607.87,392.793,392.488,
260,428.9,387.973,387.675,
265,442.34,560.361,559.733,
270,400.141,389.635,389.196,
275,400.18,387.946,386.589,
280,401.492,385.723,384.209,
285,388.132,387.896,385.757,
290,574.637,625.804,375.26,
295,386.56,427.636,382.35,
300,388.299,388.044,386.802,
305,389.095,387.794,387.387,
310,391.587,390.34,385.926,
315,389.078,385.506,385.068,
320,389.416,386.475,386.454,
325,388.195,385.475,383.991,
330,636.074,592.045,376.028,
335,582.331,626.827,375.381,
340,575.251,626.059,371.374,
345,387.654,387.785,384.202,
350,393.25,392.317,384.05,
355,582.254,615.055,369.974,
