Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,43855.8,57708.2,57455.1,
2,45565.9,57306.1,57223.1,
3,38633.6,49849,49850.2,
4,38989,50539.4,50527.2,
5,38307.3,49461.9,49637.9,
6,37924.6,48874.9,48840.7,
7,37860.3,48927.7,48692.8,
8,37666,48743.6,48715.3,
9,38026.4,48741.2,48686.4,
10,37945.3,49144.9,48826.1,
11,38013.4,48923.5,48705.8,
12,37932.4,48868,48560.3,
13,38025,49039.3,48776.6,
14,38268.5,49007.6,48828.7,
15,37790.6,48701.7,48294.9,
16,38112,48554.8,48626.5,
17,37607.1,48621.8,48598.8,
18,38189.2,48611.2,48517.8,
19,38047.1,48640.1,48648.4,
20,37951,48500,48284.4,
21,37716.6,48280.1,48202.9,
22,38140.9,48451.8,48245.9,
23,37803.6,48243.3,48122.1,
24,37952.7,48191.6,48277.4,
25,38082.7,48511.7,48560,
26,37950.4,48270.2,48163.7,
27,38134.5,48842.6,48607.9,
