Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,10449,5053,41174,
2,138008,40822,29662,
3,165093,87680,74265,
4,332032,140713,124454,
5,342086,192911,175762,
6,343725,232980,244882,
7,335192,246403,287569,
8,319141,245765,313356,
9,303009,220532,284917,
10,279570,257744,319102,
11,248810,193169,236758,
12,218297,167055,246739,
13,185755,120410,198587,
14,147403,129085,138988,
15,124241,102315,96612,
16,98749,58606,67630,
17,60816,34097,44020,
18,49000,24178,25521,
19,39028,14261,14505,
20,25875,7052,7746,
21,18936,5383,3804,
22,14184,2659,1894,
23,8368,1354,889,
24,5995,712,403,
25,3885,334,174,
26,2362,159,76,
27,1101,69,37,
