Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,10449,5053,55044,
2,138009,40822,43876,
3,165115,87680,87986,
4,332198,140716,140716,
5,343199,196294,200228,
6,348905,247357,276049,
7,351802,278947,309755,
8,353455,308978,334927,
9,354256,335979,341885,
10,354663,349778,349984,
11,354824,352531,352554,
12,354909,353914,353871,
13,354956,354540,354507,
14,354969,354772,354765,
15,354982,354891,354890,
16,354983,354949,354947,
17,354984,354965,354964,
18,354985,354976,354975,
19,354986,354981,354981,
20,354986,354983,354983,
21,354986,354983,354983,
22,354986,354983,354983,
23,354986,354986,354986,
24,354986,354986,354986,
25,354986,354986,354986,
26,354986,354986,354986,
27,354986,354986,354986,
