Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,293.3,35.5566,188.042,
2,1230.37,251.057,288.788,
3,1606.54,396.817,432.365,
4,1913.5,658.564,643.164,
5,1966.03,978.249,863.893,
6,2014.85,969.75,1130.23,
7,2000.94,1102.6,1163.44,
8,1946.53,1091.64,1152.79,
9,1824.18,1110.8,1209.41,
10,1748.05,899.547,1195.1,
11,1610.04,770.708,1113.74,
12,1366.95,659.935,968.663,
13,1189.43,538.447,751.667,
14,1040.93,470.648,589.555,
15,849.793,290.235,543.705,
16,714.79,239.129,319.396,
17,563.994,189.908,344.616,
18,477.102,152.094,233.085,
19,378.108,118.882,169.264,
20,299.202,115.164,153.386,
21,255.151,89.3718,132.851,
22,202.546,93.8445,182.582,
23,181.158,95.7604,101.178,
24,153.965,90.2494,92.9451,
25,128.652,85.5098,88.4312,
26,120.396,94.8777,97.1168,
27,114.401,78.849,88.6188,
