Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,7559.84,24624.5,24515.1,
2,7336.65,24658.5,24609.5,
3,7251.64,24342.2,24292.6,
4,7368.45,24426.5,24120.5,
5,7457.74,24448.3,24231.3,
6,7378.05,24325.2,24321,
7,7275.04,24257.3,24138.2,
8,7431.17,24297.8,24142.2,
9,7404.91,24327.4,24199.3,
10,7268.17,24503.7,24162.1,
11,7273.85,24481.2,24242.1,
12,7298.05,24191.5,24088.4,
13,7323.16,24357.4,24089.7,
14,7267.21,24295.6,24160.1,
15,7276.46,24503.7,24395.6,
16,7213.05,24253.5,24095.9,
17,7398.48,24182.6,24157.3,
18,7408.1,24094.9,24096.1,
19,7283.08,24187.6,24072.7,
20,7283.18,24222.5,24108.1,
21,7240.84,24256.9,24052.3,
22,7307.39,24369.5,24270.5,
23,7291.52,24388.3,24267.7,
24,7331.78,24452.6,24233.9,
25,7364.53,24565.9,24456.7,
26,7296.92,24274,24155.7,
27,7168.79,24137.4,23928.2,
