Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,1302,693,22222,
2,10085,4209,35895,
3,36884,16338,101242,
4,82057,60864,62904,
5,149805,85421,137004,
6,230278,202786,211695,
7,315300,223472,257482,
8,378738,307709,354987,
9,427010,310161,421101,
10,458994,451706,415410,
11,478518,476593,462477,
12,490101,488863,465467,
13,495358,494978,451416,
14,497640,497129,493987,
15,498081,497206,489453,
16,496791,498240,494685,
17,493291,486402,490336,
18,485755,486889,469985,
19,471935,447918,431927,
20,448390,478738,416186,
21,408709,421333,381563,
22,351412,345484,339149,
23,290544,277422,282099,
24,212512,248113,291847,
25,141074,165056,210227,
26,82016,131367,212402,
27,40764,97770,177503,
