Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,1302,693,75200,
2,10085,4209,112017,
3,36884,16338,185759,
4,82057,60864,143710,
5,149805,85421,256464,
6,230278,202786,314193,
7,315300,223472,352771,
8,378739,307709,425820,
9,427012,310161,467337,
10,458999,451707,462372,
11,478535,476593,486613,
12,490161,488874,487015,
13,495530,494995,481626,
14,498116,497450,499664,
15,499277,497840,499551,
16,499738,499926,499803,
17,499905,499744,499658,
18,499968,499964,499990,
19,499990,500000,499999,
20,499996,499999,500000,
21,499999,499999,500000,
22,500000,500000,500000,
23,499999,500000,500000,
24,500000,500000,500000,
25,500000,500000,500000,
26,500000,500000,500000,
27,500000,500000,500000,
