Radius,Metric Tree,FaSST,FaSST w/ Gating,
1,0.201,0.738,22.836,
2,3.916,8.384,40.754,
3,14.883,26.334,139.668,
4,52.056,75.383,235.792,
5,77.559,130.826,262.944,
6,121.96,224.58,293.952,
7,162.987,295.161,353.811,
8,180.872,370.104,439.097,
9,203.992,368.858,454.446,
10,207.456,397.733,486.525,
11,210.787,409.442,496.518,
12,258.838,391.319,488.656,
13,231.308,408.562,497.405,
14,225.214,410.338,493.296,
15,253.741,406.923,508.79,
16,254.53,412.407,510.829,
17,231.908,412.722,509.097,
18,248.536,418.546,504.632,
19,246.091,409.589,488.471,
20,229.113,419.432,487.979,
21,235.961,397.423,484.307,
22,205.978,386.237,470.597,
23,204.159,395.842,464.489,
24,160.945,319.269,396.996,
25,137.573,210.097,332.256,
26,113.119,176.02,279.864,
27,99.847,142.334,237.935,
