#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,0.334,0.937,0.965,1.078,
200,1.124,2.501,2.018,1.7,
300,1.192,4.526,4.869,4.949,
400,1.945,6.729,7.411,7.222,
500,2.446,5.102,6.241,3.891,
600,3.074,9.994,9.658,7.648,
700,4.895,12.427,14.729,15.066,
800,3.089,10.205,15.543,16.855,
900,5.068,13.754,14.087,12.066,
1000,6.801,15.912,19.593,18.93,
1100,7.069,18.926,22.271,21.625,
1200,2.683,17.514,18.433,15.481,
1300,8.76,22.306,25.846,26.359,
1400,6.142,24.767,26.857,30.703,
1500,11.694,23.73,34.114,32.976,
1600,17.678,34.845,38.335,30.23,
1700,7.022,22.833,34.825,24.576,
1800,17.699,40.116,49.184,41.178,
1900,12.202,38.367,45.984,41.391,
2000,18.818,38.952,46.669,43.528,
2100,16.563,45.877,53.877,53.475,
2200,18.948,43.59,50.578,50.548,
2300,24.423,53.776,62.964,55.337,
2400,30.735,56.592,69.384,56.304,
2500,26.169,53.474,63.989,65.768,
2600,37.241,73.772,69.598,80.212,
2700,21.888,67.652,69.737,62.696,
2800,22.506,57.25,69.72,69.342,
2900,36.627,80.993,87.838,77.551,
3000,34.216,69.148,79.967,80.469,
3100,26.901,80.597,79.67,89.919,
3200,29.515,73.336,80.692,82.087,
3300,36.592,78.1,89.145,88.539,
3400,41.376,87.191,105.194,98.293,
3500,42.233,80.527,99.421,90.292,
3600,46.119,95.843,98.278,97.185,
3700,49.324,91.886,110.105,101.087,
3800,57.516,107.976,107.969,118.869,
3900,59.164,123.419,123.984,133.388,
4000,56.757,123.772,128.656,126.015,
4100,48.157,121.456,140.06,121.215,
4200,65.174,130.474,131.948,137.748,
4300,42.035,115,131.73,130.218,
4400,75.618,142.326,134.203,142.93,
4500,67.977,138.5,143.023,149.312,
4600,54.58,147.364,152.333,152.075,
4700,85.779,153.225,146.062,156.647,
4800,90.623,159.639,172.214,185.644,
4900,81.251,163.493,164.208,176.618,
5000,67.211,145.534,158.025,168.599,
5100,76.692,165.041,176.657,179.428,
5200,87.826,194.07,187.236,186.74,
5300,82.904,196.598,206.148,187.907,
5400,95.852,204.426,212.248,199.125,
5500,106.481,201.353,202.45,203.491,
5600,124.449,223.137,214.555,230.285,
5700,92.588,189.593,211.436,208.722,
5800,99.483,218.906,209.993,199.402,
5900,99.386,218.088,230.842,218.454,
6000,109.502,212.58,237.377,231.601,
6100,90.034,235.714,216.981,226.512,
6200,90.364,200.543,237.946,213.663,
6300,93.908,229.745,255.672,220.532,
6400,95.107,230.671,238.524,255.889,
6500,110.954,241.094,252.372,254.92,
6600,153.741,267.499,224.562,261.352,
6700,111.673,252.093,242.982,251.616,
6800,134.775,279.311,265.197,270.195,
6900,126.673,250.892,274.498,274.649,
7000,117.139,298.04,252.856,266.044,
7100,105.85,259.076,244.091,230.355,
7200,117.361,300.466,289.373,260.527,
7300,99.174,268.949,266.888,275.076,
7400,134.663,276.142,294.512,278.242,
7500,132.798,314.441,267.979,272.183,
7600,144.976,324.146,285.986,290.028,
7700,142.604,318.362,291.367,310.957,
7800,156.663,313.478,310.26,312.616,
7900,148.568,325.893,309.937,313.602,
8000,148.196,340.881,318.642,320.039,
8100,158.177,332.896,306.735,345.554,
8200,159.817,354.861,325.088,345.111,
8300,131.801,350.007,313.895,339.669,
8400,167.119,390.291,347.346,355.568,
8500,176.056,378.811,340.038,362.528,
8600,164.429,368.951,348.28,367.518,
8700,194.414,403.764,374.833,353.346,
8800,170.668,401.389,351.782,338.991,
8900,161.945,401.109,367.795,340.565,
9000,172.914,392.92,379.695,356.566,
9100,216.814,399.672,399.33,413.696,
9200,150.432,403.264,385.424,365.974,
9300,181.181,423.483,356.641,386.803,
9400,196.583,419.867,388.48,399.238,
9500,194.463,452.52,409.283,379.892,
9600,185.498,422.992,412.184,400.163,
9700,168.395,466.029,429.44,437.564,
9800,185.458,459.102,412.401,412.82,
9900,170.602,463.201,409.537,415.006,
10000,233.163,539.327,482.877,497.225,
