# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTre
100,0.496,1.376,3.218,0.869
200,0.415,2.796,4.905,2.731
300,1.045,3.28,8.955,2.737
400,6.332,4.803,14.046,3.736
500,0.958,4.15,12.703,5.613
600,5.381,10.779,25.64,9.068
700,4.175,17.515,29.626,11.291
800,1.706,10.612,30.13,10.419
900,1.873,9.502,32.316,11.68
1000,6.84,17.39,40.12,17.952
1100,3.87,22.452,47.488,17.798
1200,4.575,18.997,57.322,23.703
1300,4.832,15.658,55.328,19.201
1400,23.547,33.295,59.679,35.182
1500,7.762,36.595,68.482,36.979
1600,20.855,24.12,68.733,29.939
1700,11.85,57.243,82.925,25.773
1800,5.697,33.676,81.876,27.525
1900,13.228,35.279,83.132,34.71
2000,5.319,36.005,84.696,42.49
2100,7.764,49.857,98.717,50.989
2200,5.161,46.69,100.33,50.952
2300,9.584,42.97,97.48,34.985
2400,5.774,54.443,115.082,53.309
2500,20.191,85.538,148.841,72.301
2600,15.681,65.86,127.644,61.916
2700,12.888,71.189,136.426,61.548
2800,11.727,57.974,113.22,47.613
2900,11.779,68.795,144.712,63.543
3000,12.95,61.724,152.29,62.968
3100,23.785,83.548,145.904,68.24
3200,17.421,62.156,124.843,60.022
3300,28.365,85.941,178.181,87.135
3400,14.322,80.636,177.412,84.133
3500,43.156,137.869,207.882,97.659
3600,26.044,100.356,207.408,104.659
3700,31.123,124.78,216.499,117.27
3800,31.329,111.004,215.066,100.176
3900,54.244,329.76,437.97,311.428
4000,49.651,114.199,198.846,100.264
4100,21.602,115.811,220.499,94.616
4200,32.474,144.794,228.702,130.15
4300,34.873,155.907,267.641,121.475
4400,30.377,132.668,231.059,130.251
4500,49.872,149.665,256.189,151.871
4600,54.593,163.69,253.453,162.801
4700,35.699,167.877,284.544,150.913
4800,46.212,185.372,265.171,143.865
4900,44.988,170.521,288.954,169.774
5000,78.773,213.962,285.179,159.039
5100,63.261,192.877,315.506,177.741
5200,62.099,183.253,277.538,163.643
5300,91.813,231.663,324.126,199.198
5400,60.541,211.514,309.839,206.611
5500,55.088,213.724,338.002,198.859
5600,54.066,164.953,290.902,173.191
5700,71.428,243.224,345.655,211.591
5800,65.873,246.331,359.441,229.854
5900,72.867,249.786,364.809,193.626
6000,81.013,264.201,379.62,218.843
6100,85.893,265.626,366.105,186.09
6200,85.634,263.268,387.181,239.505
6300,82.318,294.063,446.682,232.903
6400,113.47,310.462,447.653,233.121
6500,56.447,222.17,387.536,201.168
6600,91.657,271.152,417.353,249.772
6700,76.569,290.728,413.523,227.023
6800,59.557,279.052,398.188,228.008
6900,103.164,305.651,444.362,244.634
7000,88.258,310.973,453.484,257.716
7100,90.637,292.11,443.199,229.655
7200,88.635,314.943,452.974,262.383
7300,81.963,279.502,468.048,283.629
7400,99.035,308.719,460.077,253.76
7500,112.841,339.581,487.919,260.005
7600,139.768,400.85,548.191,327.563
7700,89.13,350.269,516.063,260.739
7800,88.709,343.394,535.266,256.606
7900,91.705,364.637,633.518,269.47
8000,91.969,373.673,537.002,284.316
8100,113.46,368.092,634.882,266.424
8200,90.537,338.11,585.214,376.821
8300,114.32,437.523,595.072,294.271
8400,110.42,339.832,568.686,310.992
8500,122.141,437.474,666.498,387.576
8600,170.188,434.094,669.861,362.26
8700,127.279,450.149,632.233,362.95
8800,153.847,538.929,683.163,360.311
8900,124.236,429.551,653.902,372.566
9000,191.116,535.961,700.292,463.127
9100,117.545,452.325,633.406,351.39
9200,142.695,469.668,780.396,353.477
9300,128.623,405.738,571.021,322.887
9400,202.17,474.563,631.398,411.347
9500,136.641,423.721,590.768,320.51
9600,138.365,415.549,613.362,340.798
9700,130.775,470.768,668.044,383.661
9800,202.229,516.958,671.277,394.406
9900,139.652,451.412,639.693,376.995
10000,147.267,478.167,639.938,377.803
