#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.5516,0.59865,0.7168,0.8858,
200,1.0573,1.33815,1.39755,1.9695,
300,1.9461,2.38265,3.2598,3.58765,
400,2.57655,2.82755,4.44955,4.42815,
500,3.3392,4.29615,6.6746,6.18935,
600,4.2881,4.7686,8.25465,8.2882,
700,4.53535,6.27185,9.1435,9.62855,
800,5.8443,6.526,11.4463,10.9307,
900,7.2942,8.34245,12.9276,13.3973,
1000,8.2742,9.6848,14.4705,14.8288,
1100,8.05735,9.75555,15.5688,14.1283,
1200,10.0552,11.5695,18.4036,19.2989,
1300,8.72505,12.1348,19.7459,19.729,
1400,11.6082,14.943,21.9586,22.6728,
1500,12.5545,15.4625,25.5081,23.6781,
1600,13.8154,18.6283,25.8742,26.0962,
1700,13.2983,19.405,27.1822,27.9893,
1800,15.0432,21.2122,29.8104,30.28,
1900,14.9683,22.9534,31.5801,31.9387,
2000,14.8793,21.7374,31.6734,31.9375,
2100,19.8841,26.8432,36.3119,36.7319,
2200,18.6729,26.8133,36.6018,36.5777,
2300,17.7964,27.6773,38.1631,39.4654,
2400,19.6117,29.3188,41.3046,41.8155,
2500,21.6921,30.2906,42.9993,44.3992,
2600,24.3607,31.8551,47.6444,47.414,
2700,26.6749,35.4331,49.7934,49.8231,
2800,24.7053,40.1834,52.039,53.1615,
2900,27.0837,39.3843,54.6889,52.0179,
3000,25.4046,44.1769,53.4969,56.0147,
3100,29.5588,41.4096,56.6641,56.9481,
3200,25.6867,41.7923,58.8331,60.1483,
3300,28.5185,45.2964,61.2708,61.2357,
3400,29.0329,51.0443,68.2666,67.4108,
3500,29.3188,51.9629,64.2237,67.0433,
3600,32.1969,53.9994,72.8545,67.4666,
3700,33.8865,52.3324,69.8543,71.3969,
3800,35.4306,58.4443,77.651,78.2417,
3900,41.6446,59.6439,76.88,81.6873,
4000,37.305,66.3206,82.7834,82.9896,
4100,40.136,66.0466,84.8637,83.9633,
4200,40.5977,67.0181,87.5388,88.3941,
4300,40.8464,71.5029,89.0023,93.7779,
4400,41.4614,72.6783,92.7702,91.7456,
4500,41.2424,75.2928,96.497,96.2089,
4600,46.4348,79.7803,97.3984,100.322,
4700,44.6425,79.3857,101.594,100.98,
4800,48.4774,85.7081,103.333,105.995,
4900,47.5233,83.497,109.213,109.394,
5000,46.1374,87.7655,108.081,110.829,
5100,49.9082,85.005,114.081,115.922,
5200,50.7452,90.9211,117.201,116.023,
5300,57.0899,93.9478,122.46,120.537,
5400,54.6949,105.067,123.647,123.585,
5500,53.5256,103.634,126.519,130.182,
5600,59.9631,105.036,130.853,129.265,
5700,54.1801,106.217,135.26,133.293,
5800,57.4241,102.298,135.074,138.591,
5900,59.8702,110.971,140.143,136.8,
6000,62.7877,117.515,143.776,142.589,
6100,56.6105,122.18,143.133,146.854,
6200,62.9494,118.833,152.237,148.62,
6300,65.8241,130.782,153.307,154.336,
6400,54.4364,120.778,150.561,153.301,
6500,66.1935,133.243,159.081,160.213,
6600,69.1343,132.958,159.148,158.132,
6700,66.0671,133.498,164.993,163.911,
6800,74.4233,141.006,169.632,170.436,
6900,74.4575,146.644,176.052,170.249,
7000,78.1408,147.104,177.898,175.267,
7100,71.3088,144.555,177.376,174.26,
7200,74.4978,155.639,184.457,184.484,
7300,75.3964,155.177,185.801,187.736,
7400,79.823,159.741,186.737,189.085,
7500,80.7581,168.878,207.253,204.778,
7600,79.1812,161.618,195.831,194.375,
7700,80.1181,168.254,197.997,199.583,
7800,78.5653,163.546,203.124,200.721,
7900,84.9499,187.973,210.95,209.341,
8000,83.3622,173.437,210.039,209.338,
8100,88.9304,195.918,221.041,217.438,
8200,84.822,192.102,220.299,221.286,
8300,87.559,199.496,227.443,224.015,
8400,91.4237,195.965,227.041,229.502,
8500,93.1179,208.623,233.883,234.199,
8600,90.9834,204.887,235.108,236.999,
8700,97.7347,208.201,240.558,238.895,
8800,92.8615,214.115,243.406,235.62,
8900,100.28,222.474,249.965,248.257,
9000,99.9345,228.073,251.057,252.354,
9100,99.4945,218.276,249.417,254.67,
9200,101.37,237.864,263.045,259.042,
9300,96.9165,229.983,259.908,260.191,
9400,100.677,234.193,261.624,269.488,
9500,106.756,240.977,267.755,267.58,
9600,110.451,247.187,275.361,276.27,
9700,106.543,255.299,282.072,282.669,
9800,109.485,244.641,285.263,284.984,
9900,116.459,262.559,287.513,289.69,
10000,111.637,258.202,292.448,290.538,
