#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,100,100,83,81,
200,200,200,168,155,
300,299,300,214,191,
400,399,400,292,265,
500,499,500,332,280,
600,250,597,76,40,
700,312,693,76,40,
800,330,795,94,52,
900,368,891,143,76,
1000,432,991,85,44,
1100,487,1087,150,72,
1200,479,1195,117,58,
1300,582,1294,115,43,
1400,562,1390,150,62,
1500,527,1492,165,88,
1600,656,1588,167,70,
1700,759,1684,124,69,
1800,827,1781,153,75,
1900,858,1880,241,129,
2000,832,1976,142,70,
2100,744,2080,146,71,
2200,987,2177,134,57,
2300,2297,2300,1113,859,
2400,2393,2400,1205,890,
2500,2498,2500,1324,1013,
2600,2596,2600,1168,863,
2700,2690,2700,1295,936,
2800,2793,2800,938,666,
2900,2892,2900,1014,763,
3000,2997,3000,1243,853,
3100,3095,3099,1995,1611,
3200,3194,3199,1662,1277,
3300,3295,3299,1451,1022,
3400,3391,3399,1852,1377,
3500,3498,3499,1300,893,
3600,3594,3599,1743,1359,
3700,3698,3699,1826,1479,
3800,3792,3799,1698,1208,
3900,3889,3899,1656,1220,
4000,3989,3999,1950,1441,
4100,4096,4099,2396,1920,
4200,4192,4199,1762,1243,
4300,4296,4299,1872,1394,
4400,2040,4363,358,181,
4500,1599,4460,275,136,
4600,1646,4561,541,244,
4700,1624,4658,223,98,
4800,2300,4762,253,117,
4900,1749,4862,226,110,
5000,2142,4958,333,145,
5100,2109,5056,146,69,
5200,1895,5161,395,200,
5300,2542,5260,337,119,
5400,1942,5356,336,148,
5500,1984,5456,250,103,
5600,2140,5559,246,96,
5700,2644,5659,554,235,
5800,2072,5764,308,127,
5900,2611,5862,497,238,
6000,2772,5958,244,95,
6100,2801,6056,378,156,
6200,2415,6154,240,106,
6300,2940,6255,409,210,
6400,2953,6351,318,123,
6500,2509,6451,290,125,
6600,2967,6549,526,209,
6700,2810,6648,379,163,
6800,2918,6746,556,301,
6900,1678,6845,241,96,
7000,3303,6944,373,185,
7100,2535,7045,470,182,
7200,3232,7145,761,293,
7300,3065,7240,424,218,
7400,2929,7340,404,172,
7500,3414,7439,383,175,
7600,3563,7532,552,265,
7700,3571,7630,378,131,
7800,2277,7731,540,177,
7900,2830,7830,310,117,
8000,2908,7929,595,224,
8100,3813,8024,398,122,
8200,3840,8122,650,308,
8300,3906,8223,396,118,
8400,3006,8322,478,212,
8500,3570,8422,613,231,
8600,3896,8525,498,165,
8700,4064,8623,311,127,
8800,4234,8723,421,197,
8900,3233,8827,336,114,
9000,3790,8925,445,162,
9100,4204,9025,404,155,
9200,4239,9126,241,92,
9300,4324,9225,640,261,
9400,4241,9327,247,93,
9500,4536,9427,252,81,
9600,4624,9524,368,156,
9700,3905,9627,811,259,
9800,2887,9730,373,121,
9900,4513,9824,193,99,
10000,3585,9927,381,105,
