# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTre
100,100,100,100,95
200,200,200,200,200
300,300,300,300,293
400,400,400,400,360
500,500,500,500,375
600,600,600,600,522
700,700,700,698,573
800,800,800,800,625
900,900,900,897,685
1000,999,1000,997,691
1100,1100,1100,1099,832
1200,1200,1200,1197,899
1300,1300,1300,1300,1277
1400,1400,1400,1400,1339
1500,1500,1500,1500,1471
1600,1600,1600,1600,1549
1700,1700,1700,1700,1666
1800,1800,1800,1800,1766
1900,1900,1900,1900,1869
2000,2000,2000,2000,1970
2100,2100,2100,2100,2044
2200,2200,2200,2200,2099
2300,2300,2300,2300,2141
2400,2400,2400,2400,2345
2500,2500,2500,2500,2425
2600,2600,2600,2600,2555
2700,2700,2700,2700,2634
2800,2800,2800,2800,2715
2900,2900,2900,2900,2835
3000,3000,3000,3000,2874
3100,3100,3100,3100,3024
3200,3200,3200,3200,3091
3300,3300,3300,3300,3169
3400,3400,3400,3400,3325
3500,3500,3500,3500,3421
3600,3600,3600,3600,3490
3700,3700,3700,3700,3647
3800,3800,3800,3800,3730
3900,3900,3900,3900,3763
4000,4000,4000,4000,3858
4100,4100,4100,4100,3947
4200,4200,4200,4200,4126
4300,4300,4300,4300,4166
4400,4399,4400,4311,1669
4500,4500,4500,4427,2467
4600,4598,4600,4527,2481
4700,4700,4700,4632,2324
4800,4799,4800,4737,2525
4900,4899,4900,4829,2530
5000,4999,5000,4925,2677
5100,5100,5100,5017,2567
5200,5200,5200,5117,2773
5300,5298,5300,5217,2894
5400,5398,5400,5310,3025
5500,5497,5500,5415,2417
5600,5600,5600,5517,2607
5700,5699,5700,5625,2462
5800,5799,5800,5715,2799
5900,5898,5900,5818,2487
6000,5998,6000,5925,2656
6100,6099,6100,6015,3339
6200,6197,6200,6116,2760
6300,6297,6300,6208,2643
6400,6395,6400,6304,3521
6500,6500,6500,6394,4001
6600,6597,6600,6500,3413
6700,6699,6700,6608,2988
6800,6799,6800,6700,3511
6900,6899,6900,6805,2232
7000,6999,7000,6894,3872
7100,7097,7100,6999,2694
7200,7199,7200,7096,3540
7300,7300,7300,7204,3037
7400,7399,7400,7290,2918
7500,7499,7500,7370,4179
7600,7598,7600,7481,3670
7700,7697,7700,7600,3164
7800,7800,7800,7706,2697
7900,7896,7900,7775,3238
8000,7997,8000,7886,3365
8100,8099,8100,7974,3332
8200,8198,8200,8061,4056
8300,8299,8300,8188,4092
8400,8399,8400,8275,3545
8500,8497,8500,8370,3674
8600,8598,8600,8453,4161
8700,8698,8700,8541,2918
8800,8798,8800,8662,3465
8900,8897,8900,8777,3305
9000,8998,9000,8822,3833
9100,9099,9100,8928,4623
9200,9198,9200,9072,4329
9300,9298,9300,9175,2612
9400,9399,9400,9252,3893
9500,9499,9500,9358,4218
9600,9597,9600,9443,4035
9700,9700,9700,9544,4992
9800,9800,9800,9656,4140
9900,9898,9900,9756,5421
10000,9998,10000,9852,3802
