#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,96,98,52,43,
200,196,193,100,80,
300,296,288,133,92,
400,359,385,75,49,
500,462,474,185,114,
600,551,572,226,165,
700,682,668,374,240,
800,728,763,268,177,
900,819,852,202,120,
1000,849,931,254,154,
1100,993,1033,487,359,
1200,1114,1133,377,258,
1300,1202,1234,219,151,
1400,1301,1337,457,297,
1500,1430,1427,564,388,
1600,213,1018,131,95,
1700,243,1056,96,45,
1800,251,1087,56,25,
1900,1045,1614,282,107,
2000,1297,1696,259,133,
2100,1139,1786,231,97,
2200,1467,1868,474,196,
2300,1418,1972,325,151,
2400,1481,2081,752,430,
2500,1503,2184,239,119,
2600,1655,2269,467,240,
2700,1294,2341,211,91,
2800,1518,2416,235,104,
2900,1862,2508,635,386,
3000,1910,2585,367,180,
3100,2374,2648,315,175,
3200,1884,2717,541,309,
3300,2423,2808,431,197,
3400,1963,2860,797,371,
3500,2372,2951,778,439,
3600,2225,2997,483,242,
3700,1833,3103,856,533,
3800,2639,3174,963,538,
3900,2061,3250,352,164,
4000,1466,3335,187,151,
4100,2429,3400,364,182,
4200,2723,3481,1140,619,
4300,2046,3573,417,223,
4400,2928,3680,638,329,
4500,2524,3768,537,252,
4600,2988,3860,293,102,
4700,2788,3931,426,182,
4800,3127,4060,662,353,
4900,3105,4156,607,341,
5000,3251,4239,838,461,
5100,3342,4318,775,440,
5200,3494,4397,785,376,
5300,3156,4481,969,453,
5400,3271,4552,485,193,
5500,2725,4654,1116,532,
5600,3103,4752,1144,607,
5700,3037,4849,767,402,
5800,3049,4929,245,110,
5900,3987,5000,727,327,
6000,3475,5093,986,542,
6100,3566,5162,755,321,
6200,4313,5272,962,454,
6300,3723,5354,1019,557,
6400,3607,5421,1842,930,
6500,4346,5518,786,401,
6600,3411,5578,1248,601,
6700,3716,5623,1274,696,
6800,3834,5736,876,484,
6900,3950,5803,530,282,
7000,4629,5902,679,324,
7100,4245,5988,753,404,
7200,4976,6063,1220,674,
7300,1949,5351,982,556,
7400,1732,5430,530,313,
7500,2279,5493,729,383,
7600,2534,5540,634,310,
7700,2868,5566,1049,814,
7800,3011,5578,566,328,
7900,2407,5700,449,271,
8000,2360,5788,562,438,
8100,2088,5802,520,250,
8200,1446,5849,528,247,
8300,3194,5928,840,423,
8400,2924,5974,314,229,
8500,2911,6088,681,404,
8600,402,6140,291,222,
8700,1946,6241,257,109,
8800,1681,6285,369,209,
8900,1496,6354,1146,876,
9000,2549,6430,384,173,
9100,2579,6500,665,291,
9200,2551,6551,466,244,
9300,3958,6685,426,218,
9400,2721,6718,1042,499,
9500,2602,6855,1290,917,
9600,2946,6890,1194,492,
9700,2767,7006,794,355,
9800,2764,7073,325,175,
9900,2556,7123,523,247,
10000,1644,7195,691,367,
