#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,97,199,52,52,
200,192,397,77,77,
300,291,590,165,165,
400,294,787,162,162,
500,477,981,123,123,
600,590,1179,193,193,
700,628,1367,178,178,
800,537,1565,213,213,
900,654,1745,278,278,
1000,778,1933,219,219,
1100,1015,2126,413,413,
1200,1032,2314,148,148,
1300,1204,2526,236,236,
1400,496,2668,312,312,
1500,729,2867,182,182,
1600,654,3057,329,329,
1700,712,3237,405,405,
1800,816,3418,163,163,
1900,916,3600,185,185,
2000,910,3784,229,229,
2100,885,3965,203,203,
2200,943,4155,393,393,
2300,1059,4347,156,156,
2400,595,4551,238,238,
2500,1068,4741,299,299,
2600,919,4913,299,299,
2700,1244,5108,201,201,
2800,1215,5305,561,566,
2900,1415,5469,270,270,
3000,547,5524,243,274,
3100,888,5670,413,591,
3200,1008,5872,241,252,
3300,1552,6036,249,317,
3400,1201,6234,371,374,
3500,1162,6372,253,253,
3600,1427,6552,747,779,
3700,1638,6737,264,264,
3800,1302,6905,567,567,
3900,1376,7073,438,459,
4000,714,7225,226,269,
4100,991,7426,745,958,
4200,1628,7598,444,448,
4300,1543,7775,382,382,
4400,1667,7959,415,424,
4500,1848,8129,584,584,
4600,1800,8340,432,457,
4700,2022,8519,566,644,
4800,1613,8690,484,484,
4900,1347,8889,538,564,
5000,625,9103,278,282,
5100,1765,9267,631,631,
5200,1739,9412,545,545,
5300,1911,9644,302,302,
5400,1636,9813,358,364,
5500,1332,9959,298,375,
5600,2022,10129,288,306,
5700,2047,10309,647,647,
5800,1579,10475,828,834,
5900,1911,10670,312,314,
6000,1366,10847,680,770,
6100,2012,10990,533,533,
6200,2590,11192,531,578,
6300,2927,11384,432,432,
6400,2707,11550,353,356,
6500,1702,11684,586,586,
6600,2632,11856,493,493,
6700,2519,12045,279,279,
6800,2436,12223,917,917,
6900,2955,12434,556,624,
7000,2877,12570,650,655,
7100,2465,12736,396,396,
7200,892,12866,325,415,
7300,2801,13040,770,789,
7400,2558,13125,322,336,
7500,2626,13346,746,761,
7600,3230,13490,430,502,
7700,2925,13630,991,1066,
7800,3496,13798,758,758,
7900,2906,14005,824,839,
8000,3609,14196,440,440,
8100,3581,14342,564,564,
8200,3591,14550,738,738,
8300,3700,14655,788,815,
8400,3377,14880,602,602,
8500,3453,15067,1436,1753,
8600,2549,15254,455,458,
8700,2184,15491,615,637,
8800,2994,15679,377,383,
8900,3104,15859,862,862,
9000,3530,16092,701,701,
9100,2910,16251,700,702,
9200,3812,16469,1231,1231,
9300,2933,16672,350,353,
9400,3398,16824,678,678,
9500,2195,16989,499,601,
9600,2346,17180,751,751,
9700,2803,17353,1020,1065,
9800,2892,17533,705,705,
9900,3873,17692,730,975,
10000,2409,17874,818,862,
