#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,100,199,100,100,
200,200,399,199,199,
300,300,599,256,256,
400,399,799,336,336,
500,500,999,396,396,
600,599,1199,463,463,
700,699,1399,471,471,
800,799,1599,595,595,
900,899,1799,671,671,
1000,999,1999,733,733,
1100,1100,2199,749,749,
1200,1200,2399,656,656,
1300,1300,2599,1004,1004,
1400,1400,2799,1137,1137,
1500,1499,2999,1135,1135,
1600,1599,3199,1178,1178,
1700,1699,3399,1294,1294,
1800,1798,3599,1246,1246,
1900,1900,3799,1431,1431,
2000,1999,3999,1186,1186,
2100,2100,4199,1560,1560,
2200,2199,4399,1512,1512,
2300,2300,4599,1585,1585,
2400,2400,4799,1732,1732,
2500,2500,4999,1765,1765,
2600,445,5182,111,183,
2700,548,5383,76,88,
2800,411,5583,75,92,
2900,619,5785,100,100,
3000,670,5982,114,153,
3100,233,6180,74,89,
3200,504,6380,115,497,
3300,604,6579,104,104,
3400,447,6778,70,127,
3500,536,6974,132,197,
3600,384,7173,109,110,
3700,325,7371,79,79,
3800,292,7568,67,99,
3900,542,7767,135,177,
4000,585,7963,140,173,
4100,521,8162,136,161,
4200,530,8357,79,137,
4300,481,8555,107,107,
4400,539,8757,170,318,
4500,439,8961,84,108,
4600,823,9158,158,158,
4700,724,9358,185,344,
4800,615,9561,74,97,
4900,4893,9799,2129,2129,
5000,4995,9999,2361,2361,
5100,5096,10199,1752,1752,
5200,5195,10399,1872,1872,
5300,5292,10599,2266,2266,
5400,5391,10799,2004,2004,
5500,5493,10999,2464,2464,
5600,5590,11199,2594,2594,
5700,5691,11399,2987,2987,
5800,5797,11599,2154,2154,
5900,5894,11799,2154,2154,
6000,5987,11999,3164,3164,
6100,6093,12199,2527,2527,
6200,6196,12399,3557,3557,
6300,6296,12599,2767,2767,
6400,6391,12799,3104,3104,
6500,6494,12999,2006,2006,
6600,6594,13199,2330,2330,
6700,6693,13399,2203,2203,
6800,6795,13599,2497,2497,
6900,6891,13799,3893,3893,
7000,6994,13999,2672,2672,
7100,7094,14199,3105,3105,
7200,7190,14399,3452,3452,
7300,7292,14599,3010,3010,
7400,7389,14799,2350,2350,
7500,7490,14999,2142,2142,
7600,7592,15199,2788,2788,
7700,7687,15399,3039,3039,
7800,7792,15599,3959,3959,
7900,7890,15799,3047,3047,
8000,7997,15999,3170,3170,
8100,8086,16199,3527,3527,
8200,8192,16399,4098,4098,
8300,8294,16599,3066,3066,
8400,8395,16799,3933,3933,
8500,8495,16999,3148,3148,
8600,8588,17199,2930,2930,
8700,8690,17399,3444,3444,
8800,8791,17599,3508,3508,
8900,8892,17799,4093,4093,
9000,8996,17999,4190,4190,
9100,9092,18199,4126,4126,
9200,9189,18399,4087,4087,
9300,9294,18599,3484,3484,
9400,9395,18799,4411,4411,
9500,9493,18999,3705,3705,
9600,9590,19199,4446,4446,
9700,9692,19399,4090,4090,
9800,9791,19599,4303,4303,
9900,9890,19799,4345,4345,
10000,9988,19999,3940,3940,
