# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTre
100,0.008,0.013,0.042,0.027
200,0.006,0.008,0.037,0.051
300,0.007,0.009,0.026,0.056
400,0.008,0.028,0.036,0.073
500,0.009,0.009,0.077,0.062
600,0.008,0.01,0.088,0.089
700,0.011,0.015,0.049,0.047
800,0.012,0.013,0.064,0.046
900,0.014,0.014,0.057,0.758
1000,0.02,0.013,0.096,0.1
1100,0.005,0.009,0.04,0.069
1200,0.012,0.014,0.03,0.051
1300,0.007,0.009,0.031,0.222
1400,0.007,0.022,0.028,1.84
1500,0.004,0.008,0.024,0.2
1600,0.005,0.011,0.033,0.117
1700,0.007,0.013,0.038,0.097
1800,0.01,0.012,0.052,0.198
1900,0.008,0.015,0.06,0.058
2000,0.008,0.008,0.036,0.046
2100,0.01,0.01,0.051,0.086
2200,0.014,0.013,0.053,3.572
2300,0.012,0.015,0.043,0.064
2400,0.006,0.013,0.049,0.29
2500,0.006,0.013,0.074,0.144
2600,0.014,0.013,0.046,0.228
2700,0.015,0.017,0.048,0.288
2800,0.012,0.014,0.042,0.034
2900,0.018,0.015,0.055,0.068
3000,0.011,0.015,0.046,0.082
3100,0.016,0.018,0.049,0.13
3200,0.015,0.016,0.073,0.078
3300,0.011,0.02,0.04,0.256
3400,0.012,0.019,0.045,0.235
3500,0.017,0.159,0.08,0.443
3600,0.011,0.015,0.051,0.08
3700,0.032,0.018,0.089,0.311
3800,0.022,0.012,0.087,0.12
3900,0.024,0.021,0.061,0.095
4000,0.009,0.015,0.042,0.2
4100,1.526,0.013,0.049,0.077
4200,0.006,0.012,0.026,0.176
4300,0.018,0.019,0.035,0.203
4400,0.01,0.019,0.05,0.393
4500,0.006,0.013,0.024,0.25
4600,0.006,0.012,0.025,0.053
4700,0.357,0.014,0.167,0.414
4800,0.032,0.03,0.042,0.33
4900,0.01,0.013,0.071,0.185
5000,0.011,0.012,0.065,0.66
5100,0.015,0.014,0.086,0.127
5200,0.013,0.027,0.042,0.423
5300,0.012,0.015,0.029,0.203
5400,0.016,16.927,0.063,0.35
5500,0.008,0.016,0.206,0.344
5600,0.015,0.012,0.092,0.092
5700,0.02,0.017,0.046,0.25
5800,0.009,0.014,0.057,0.417
5900,0.009,0.015,0.059,0.47
6000,0.023,0.043,0.03,0.201
6100,0.009,0.015,0.046,1.243
6200,0.02,0.017,0.047,0.685
6300,0.011,0.013,0.034,0.144
6400,0.044,0.02,0.051,0.455
6500,0.015,0.018,0.049,0.411
6600,0.013,0.02,0.042,0.44
6700,0.009,0.011,0.047,0.132
6800,0.027,0.038,0.03,0.441
6900,0.017,0.016,0.051,0.051
7000,0.008,0.018,0.041,0.054
7100,0.01,0.017,0.029,0.559
7200,0.014,0.029,0.056,0.413
7300,0.011,0.017,0.068,0.304
7400,0.022,0.019,0.044,0.038
7500,0.029,0.017,0.106,0.964
7600,0.047,0.028,0.092,0.855
7700,0.018,0.023,0.043,0.792
7800,0.009,0.018,0.05,0.124
7900,0.012,0.023,0.044,0.457
8000,0.015,0.02,0.074,0.228
8100,0.01,1.114,0.039,0.325
8200,0.014,0.017,0.078,0.29
8300,0.016,0.018,0.029,0.092
8400,0.016,0.018,0.097,0.254
8500,0.015,0.019,0.055,0.094
8600,0.015,0.019,0.083,0.285
8700,0.016,0.021,0.078,0.354
8800,0.018,0.019,0.093,0.402
8900,0.114,0.023,0.052,0.593
9000,0.018,0.026,0.095,0.704
9100,0.023,0.023,0.062,0.436
9200,0.013,0.025,0.044,0.081
9300,0.032,0.022,0.047,0.268
9400,0.018,0.021,0.043,0.604
9500,0.013,0.021,0.078,0.111
9600,0.013,0.025,0.072,0.768
9700,0.011,0.022,0.051,0.435
9800,0.016,0.021,0.135,10.469
9900,0.011,0.027,0.059,3.059
10000,0.016,0.019,0.048,0.167
