#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,0.012,0.033,0.015,0.081,
200,0.02,0.129,0.022,0.124,
300,0.029,0.213,0.091,0.031,
400,0.214,0.051,0.443,0.109,
500,0.147,0.17,1.134,0.185,
600,0.083,0.342,0.96,0.198,
700,0.025,0.104,0.011,0.014,
800,0.037,0.55,0.045,0.054,
900,0.091,0.178,0.046,0.062,
1000,0.324,0.085,0.014,0.048,
1100,0.058,0.465,0.09,0.111,
1200,0.051,0.228,0.047,0.071,
1300,0.154,0.225,0.055,0.052,
1400,0.07,1.219,1.482,0.086,
1500,4.03,0.209,0.039,0.193,
1600,0.107,0.167,0.034,0.035,
1700,0.092,0.211,0.031,0.06,
1800,0.092,0.201,0.065,0.037,
1900,0.276,0.5,0.049,0.106,
2000,0.074,4.535,0.076,0.097,
2100,0.09,0.363,0.048,0.205,
2200,0.234,0.381,0.073,0.076,
2300,0.278,0.393,0.307,0.597,
2400,0.621,1.212,2.334,0.305,
2500,0.305,0.893,0.959,0.317,
2600,0.613,0.253,1.034,0.359,
2700,2.165,2.425,1.168,1.217,
2800,0.988,3.693,0.219,1.539,
2900,1.422,0.433,0.568,0.261,
3000,0.627,3.496,0.226,1.476,
3100,1.263,1.067,2.181,4.962,
3200,0.56,3.262,1.051,0.419,
3300,0.612,7.537,1.364,0.748,
3400,0.896,1.696,0.55,2.862,
3500,0.414,1.555,1.712,1.032,
3600,1.47,0.922,0.757,7.231,
3700,3.264,1.683,0.723,4.002,
3800,8.576,1.988,0.32,0.532,
3900,0.696,3.419,3.344,5.539,
4000,1.101,1.293,0.75,0.981,
4100,1.318,3.403,7.833,5.039,
4200,11.491,3.91,0.731,4.549,
4300,12.313,0.818,1.843,1.468,
4400,0.364,3.993,0.606,0.214,
4500,0.45,4.059,1.225,0.298,
4600,1.032,1.376,0.161,0.344,
4700,7.767,3.402,0.215,0.393,
4800,1.443,1.371,0.088,0.151,
4900,4.097,7.372,0.219,0.152,
5000,4.843,0.59,0.188,0.627,
5100,0.968,0.75,0.11,4.386,
5200,0.896,0.666,1.381,0.697,
5300,0.412,0.681,0.242,0.66,
5400,2.27,1.425,0.182,0.242,
5500,2.099,1.078,0.146,0.222,
5600,0.416,3.328,0.117,0.425,
5700,3.579,8.144,0.316,0.56,
5800,0.678,8.047,0.379,0.142,
5900,2.552,3.709,0.187,0.519,
6000,0.901,3.71,0.12,0.239,
6100,1.472,1.161,0.115,0.582,
6200,5.321,7.915,0.262,0.749,
6300,2.686,5.377,0.226,3.749,
6400,0.976,6.768,0.305,0.111,
6500,3.725,5.562,0.082,0.836,
6600,8.64,7.859,0.158,1.013,
6700,2.498,2.331,0.219,0.334,
6800,0.828,2.318,0.192,0.482,
6900,1.094,5.353,0.113,0.894,
7000,2.355,4.206,0.158,0.204,
7100,3.395,3.188,1.132,0.387,
7200,4.067,7.573,0.883,0.676,
7300,2.003,8.368,0.194,0.212,
7400,0.996,1.752,0.176,0.432,
7500,2.622,1.137,0.606,0.268,
7600,2.53,3.252,0.295,0.539,
7700,3.706,2.003,0.171,0.289,
7800,9.937,8.179,1.11,0.273,
7900,5.203,1.292,0.165,0.125,
8000,0.846,7.112,0.482,0.355,
8100,1.094,5.071,0.802,0.218,
8200,0.756,5.582,0.326,0.887,
8300,4.4,6.958,0.263,0.284,
8400,0.58,11.383,0.422,0.484,
8500,1.541,7.869,0.203,0.269,
8600,0.686,4.388,0.282,0.339,
8700,14.155,1.487,1.391,0.493,
8800,3.196,1.763,0.235,0.272,
8900,2.511,7.331,0.109,0.137,
9000,12.719,1.895,0.151,1.507,
9100,1.576,2.044,0.772,0.383,
9200,14.253,6.008,0.092,0.142,
9300,0.772,6.422,0.434,1.543,
9400,1.056,2.841,0.088,0.131,
9500,8.742,2.14,0.141,0.328,
9600,8.855,1.58,5.382,0.573,
9700,9.135,6.818,0.366,1.396,
9800,2.639,2.142,0.162,0.931,
9900,6.609,2.289,0.101,0.093,
10000,3.302,4.356,0.356,1.802,
