# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTree
100,0.005,0.007,0.037,0.022,
200,0.005,0.013,0.052,0.029,
300,0.036,0.471,0.083,0.269,
400,0.013,0.008,0.059,0.053,
500,0.013,0.013,0.074,0.039,
600,0.015,0.013,0.078,0.021,
700,0.02,0.018,0.12,0.058,
800,0.023,0.011,0.125,0.026,
900,0.021,0.012,0.126,0.036,
1000,0.02,0.019,0.089,0.044,
1100,0.018,0.022,0.117,0.298,
1200,0.011,0.011,0.074,0.051,
1300,0.011,0.01,0.063,0.068,
1400,0.6,0.012,0.096,0.224,
1500,0.017,0.012,0.098,0.065,
1600,0.014,0.014,0.107,0.055,
1700,0.018,0.012,0.111,0.037,
1800,0.016,0.019,0.094,0.196,
1900,0.015,0.02,0.096,0.205,
2000,0.015,0.019,0.095,0.129,
2100,0.023,0.021,0.102,0.166,
2200,0.025,0.023,0.14,0.191,
2300,0.014,0.022,0.081,0.101,
2400,0.017,0.013,0.111,0.073,
2500,0.027,0.016,0.195,0.187,
2600,0.011,0.012,0.075,0.089,
2700,0.009,0.015,0.055,0.137,
2800,0.014,0.012,0.103,0.099,
2900,0.016,0.015,0.081,0.127,
3000,0.823,0.017,0.06,0.172,
3100,0.018,0.019,0.105,0.193,
3200,0.01,0.024,0.041,0.053,
3300,0.01,0.017,0.059,0.158,
3400,0.013,0.013,0.092,0.197,
3500,0.018,0.024,0.121,0.401,
3600,0.013,0.017,0.099,0.229,
3700,0.01,0.014,0.053,0.053,
3800,0.013,0.012,0.077,0.109,
3900,0.018,0.027,0.159,0.104,
4000,0.015,0.018,0.081,0.471,
4100,0.012,0.029,0.065,2.076,
4200,0.018,0.029,0.114,0.251,
4300,0.014,0.022,0.067,3.815,
4400,0.016,0.02,0.122,0.218,
4500,0.684,0.014,0.105,0.133,
4600,0.02,0.023,0.116,0.201,
4700,6.918,0.032,0.133,0.224,
4800,0.01,0.034,0.043,0.2,
4900,0.017,0.038,0.138,1.019,
5000,0.017,0.047,0.163,0.597,
5100,0.085,0.092,0.17,1.043,
5200,0.197,0.126,0.275,1.209,
5300,0.024,0.136,0.09,7.957,
5400,0.02,0.039,0.12,0.5,
5500,0.016,0.04,0.141,2.402,
5600,0.173,0.044,0.097,4.257,
5700,0.028,1.212,0.259,1.408,
5800,0.048,0.133,0.187,1.326,
5900,0.085,0.074,0.197,1.595,
6000,0.059,0.047,0.188,0.324,
6100,0.037,0.043,0.164,0.141,
6200,0.102,0.049,0.073,0.215,
6300,0.02,0.046,0.106,4.104,
6400,0.028,0.041,0.124,1.995,
6500,0.027,0.13,0.157,1.847,
6600,0.043,0.042,0.152,10.668,
6700,0.035,0.048,0.162,0.545,
6800,0.039,0.047,0.142,1.211,
6900,0.096,0.045,0.146,0.333,
7000,0.026,0.048,0.091,0.101,
7100,0.039,0.123,0.14,1.172,
7200,0.024,0.045,0.152,0.275,
7300,0.037,0.049,0.188,0.337,
7400,0.914,0.049,0.12,0.092,
7500,0.226,0.05,0.128,0.43,
7600,4.439,0.049,0.273,1.291,
7700,0.065,0.056,0.232,2.085,
7800,0.061,0.058,0.181,0.558,
7900,0.045,0.058,0.185,0.231,
8000,0.047,0.052,0.233,3.757,
8100,0.043,0.055,0.236,1.906,
8200,0.028,0.057,0.181,0.402,
8300,0.049,0.059,0.245,0.781,
8400,0.059,0.041,0.353,0.511,
8500,0.047,0.057,0.174,1.455,
8600,0.053,0.056,0.214,0.263,
8700,0.026,0.059,0.124,0.268,
8800,0.05,0.054,0.202,0.083,
8900,0.048,0.065,0.308,4.609,
9000,0.042,0.055,0.157,0.616,
9100,0.046,0.056,0.129,0.337,
9200,0.064,0.067,0.393,3.01,
9300,0.057,0.064,0.372,8.267,
9400,0.044,0.069,0.306,0.198,
9500,0.041,0.071,0.257,1.235,
9600,0.044,0.05,0.426,0.513,
9700,0.04,0.245,0.164,0.1,
9800,0.061,0.073,0.243,0.8,
9900,0.045,0.045,0.228,0.216,
10000,6.931,0.056,0.362,0.864,
