#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.006,0.012,0.008,0.008,
200,0.006,0.015,0.011,0.27,
300,0.007,0.018,0.01,0.016,
400,0.01,1.838,0.014,0.022,
500,0.014,0.048,0.019,0.026,
600,0.015,0.025,0.015,0.02,
700,0.016,0.023,0.02,0.032,
800,0.019,0.027,0.014,0.017,
900,0.024,0.03,0.03,0.045,
1000,0.028,0.034,0.027,0.041,
1100,0.02,0.031,0.023,0.032,
1200,0.024,0.037,0.018,0.026,
1300,0.019,0.039,0.023,0.037,
1400,0.024,0.041,0.02,0.024,
1500,0.027,0.044,0.107,4.421,
1600,0.028,0.075,0.017,0.022,
1700,0.03,0.076,0.042,0.051,
1800,0.033,0.048,0.038,0.057,
1900,0.027,0.052,0.028,0.046,
2000,0.03,0.053,0.024,0.031,
2100,0.025,0.099,0.022,0.033,
2200,0.041,0.06,0.026,0.032,
2300,0.037,0.064,0.044,0.071,
2400,0.029,0.242,0.024,0.033,
2500,0.051,0.083,0.023,0.03,
2600,0.05,0.072,0.037,0.042,
2700,0.042,0.241,0.076,0.108,
2800,0.038,0.131,0.037,0.048,
2900,0.062,0.123,0.058,0.09,
3000,0.053,0.146,0.067,0.192,
3100,0.053,0.089,0.028,0.033,
3200,0.046,0.17,0.038,0.062,
3300,0.051,0.092,0.045,0.065,
3400,0.039,0.098,0.054,0.075,
3500,0.182,0.211,0.048,0.064,
3600,0.059,0.14,0.106,0.914,
3700,0.764,0.112,2.529,0.142,
3800,0.078,0.139,0.082,0.069,
3900,0.062,0.202,0.038,0.053,
4000,0.06,0.132,0.094,0.127,
4100,0.064,0.196,0.038,0.036,
4200,0.055,0.652,0.069,0.09,
4300,0.035,0.228,0.067,0.599,
4400,0.064,0.244,0.037,0.138,
4500,0.076,0.251,0.044,0.056,
4600,0.095,0.325,0.075,0.117,
4700,0.076,0.28,0.032,0.044,
4800,0.069,0.344,0.114,9.44,
4900,0.156,0.408,0.041,0.059,
5000,0.092,0.255,0.103,0.161,
5100,0.104,7.921,0.068,0.091,
5200,3.801,0.204,3.016,0.124,
5300,0.137,0.329,0.116,0.15,
5400,0.145,0.357,0.065,0.085,
5500,0.145,0.257,0.131,0.198,
5600,0.149,0.332,0.149,0.218,
5700,0.15,0.236,0.085,0.114,
5800,0.127,9.092,0.468,0.158,
5900,0.179,0.439,0.086,0.109,
6000,0.119,0.27,0.134,0.17,
6100,0.112,0.456,0.066,0.128,
6200,0.195,0.36,0.054,0.076,
6300,0.097,0.357,0.176,0.223,
6400,0.271,0.245,0.246,0.179,
6500,0.153,0.242,0.066,0.077,
6600,0.099,0.366,0.17,0.21,
6700,4.92,0.427,0.076,0.107,
6800,1.117,0.567,0.177,0.894,
6900,0.225,0.545,0.059,0.098,
7000,0.163,0.285,0.104,0.142,
7100,8.413,0.518,0.242,0.192,
7200,0.078,0.433,0.092,0.105,
7300,0.071,0.509,0.102,0.454,
7400,0.053,6.389,0.074,0.055,
7500,0.064,0.337,0.071,0.095,
7600,0.061,0.299,0.058,0.071,
7700,0.073,0.287,0.049,0.283,
7800,0.142,0.54,0.155,2.201,
7900,0.238,0.491,0.417,0.269,
8000,0.149,0.484,0.082,0.114,
8100,0.09,0.415,0.066,0.104,
8200,1.754,8.842,0.106,0.157,
8300,0.052,8.227,0.035,0.052,
8400,0.068,0.545,0.1,0.189,
8500,0.548,0.623,0.136,0.198,
8600,0.081,0.3,0.088,0.188,
8700,9.631,0.314,0.145,0.22,
8800,0.029,0.395,0.04,0.05,
8900,0.167,0.823,0.107,0.2,
9000,0.066,0.271,0.051,0.308,
9100,0.144,0.996,0.186,0.299,
9200,0.116,0.982,0.116,0.334,
9300,0.223,1.53,0.126,0.499,
9400,0.15,0.384,0.137,0.376,
9500,0.134,0.321,0.1,0.117,
9600,0.113,0.333,0.078,0.231,
9700,16.068,0.289,0.042,0.059,
9800,0.461,0.57,0.094,0.17,
9900,0.2,0.339,0.127,0.216,
10000,0.655,4.669,0.063,0.074,
